event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image;event_id;edition_id;edition_year;edition_slug;brand_slug;organizer_name;organizer_url;official_url;registration_url;registration_status;event_status;brand_verification_status;brand_last_verified_at;edition_verification_status;edition_last_verified_at;race_formats
23. Lehrter CityLauf;Running;04.09.2026;Lehrte;Germany;Lehrte, Lower Saxony, Germany, Germany;52.3689852;9.9885921;10 km, 5 km;Der 23. Lehrter CityLauf findet am 4. September 2026 statt und ist eine traditionsreiche Laufveranstaltung in der Innenstadt von Lehrte. Die Läufe umfassen Distanzen von 2, 4 und 10 Kilometern, inklusive Bambini- und Schulläufen sowie einem Inklusionslauf über 2 Kilometer. Die Firmenwertung über 4 und 10 Kilometer wird erneut von der KURTULUS GRUPPE prämiert. Für eine tolle Atmosphäre sorgt musikalische Begleitung un;https://lehrtersv.de/aktuelles/62-citylauf/1053-23-lehrter-citylauf-am-04-09-2026;Sport Event Map verified event catalog;https://lehrtersv.de/aktuelles/62-citylauf/1053-23-lehrter-citylauf-am-04-09-2026;unclear;low;;2026-06-02T00:00:00+00:00;2026-08-31T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;268;ceb06597-81b3-4e61-889c-30a54d1026b9;2026;23-lehrter-citylauf-2026;23-lehrter-citylauf;;;;;unknown;scheduled;;;verified;2026-06-02T00:00:00+00:00;
24. Duderstädter Sparkassenlauf;Running;28.08.2026;Duderstadt;Germany;Duderstadt, Niedersachsen, Germany, Germany;51.514633;10.2676414;10 km, 5 km;Der 24. Duderstädter Sparkassenlauf findet am 28. August 2026 in der historischen Fußgängerzone von Duderstadt statt. Die Veranstaltung startet um 16:00 Uhr mit der Eröffnung vor dem Rathaus, das auch Zielpunkt aller Läufe ist. Angeboten werden verschiedene Distanzen von 600 m Bambinilauf über 1,25 km Schülerrunden bis hin zu 5 km und 10 km Läufen. Für Kinder und Jugendliche gibt es Finisher-Medaillen, für die 5- und;https://www.duderstaedter-sparkassenlauf.de/;Sport Event Map verified event catalog;https://www.duderstaedter-sparkassenlauf.de/;unclear;low;;2026-06-02T00:00:00+00:00;2026-08-31T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;267;20047017-eac8-4762-9ed9-fb37daab4a48;2026;24-duderstadter-sparkassenlauf-2026;24-duderstadter-sparkassenlauf;;;;;unknown;scheduled;;;verified;2026-06-02T00:00:00+00:00;
25. Benther-Berg-Lauf;Running;03.10.2026;Ronnenberg-Benthe;Germany;VSV Benthe Sportplatz, Am Hammfeld, Ronnenberg-Benthe, Lower Saxony, Germany, Germany;52.342381;9.631612;Halbmarathon, 10 km;Der Benther-Berg-Lauf findet am 3. Oktober 2026 in Ronnenberg-Benthe statt und ist Teil des Sparkassen-Laufpass der Region Hannover. Die Veranstaltung bietet verschiedene Laufdistanzen für alle Altersgruppen, von Bambini- und Kinderläufen bis hin zu einem Halbmarathon über 21,8 km. Die Strecke führt durch die landschaftlich reizvolle Umgebung des Benther Bergs und bietet sowohl ambitionierten Läufern als auch Freizei;https://vsv-benthe.de/vsv-sportarten/benther-berg-lauf/;Sport Event Map verified event catalog;https://vsv-benthe.de/vsv-sportarten/benther-berg-lauf/;unclear;medium;;2026-06-02T00:00:00+00:00;2026-07-02T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;271;1fe97126-8644-4096-901a-c5ad7fc55e1f;2026;25-benther-berg-lauf-2026;25-benther-berg-lauf;;;;;unknown;scheduled;;;stale;2026-06-02T00:00:00+00:00;
25. Marner Kohltagelauf;Running;27.09.2026;Marne;Germany;Marne, Germany;53.9521162;9.0107437;5 km, 10 km;Official endurance event in Marne. Imported from verified staging batch.;https://marner-kohltagelauf.com/;Sport Event Map verified event catalog;https://marner-kohltagelauf.com/;unclear;medium;;2026-06-17T00:00:00+00:00;2026-08-28T08:53:13.87+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;439;0edac420-b818-4da9-a872-9300942765dc;2026;25-marner-kohltagelauf-2026;25-marner-kohltagelauf;;;;;unknown;scheduled;;;verified;2026-06-17T00:00:00+00:00;
25. Volkslauf um den Altwarmbüchener See;Running;10.10.2026;Isernhagen;Germany;Altwarmbüchen, Isernhagen, Lower Saxony, Germany, Germany;52.4347962;9.8483711;10 km, 7.2 km;Der Volkslauf um den Altwarmbüchener See ist Teil des Sparkassen-Laufpasses der Region Hannover, einer der größten Laufserien Deutschlands mit 43 Veranstaltungen im Jahr 2026. Der Lauf bietet Läuferinnen und Läufern die Möglichkeit, die Region Hannover laufend zu entdecken und an einem abwechslungsreichen Laufangebot teilzunehmen. Jede Teilnahme wird mit einem Stempel im Laufpass honoriert, der sowohl digital als auc;https://www.hannover.de/Kultur-Freizeit/Freizeit-Sport/Sport/Laufpass-2026;Sport Event Map verified event catalog;https://www.hannover.de/Kultur-Freizeit/Freizeit-Sport/Sport/Laufpass-2026;unclear;low;;2026-06-02T00:00:00+00:00;2026-08-31T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;270;48e49ecf-5384-4870-a3fc-f1d41bb87f96;2026;25-volkslauf-um-den-altwarmbuchener-see-2026;25-volkslauf-um-den-altwarmbuchener-see;;;;;unknown;scheduled;;;verified;2026-06-02T00:00:00+00:00;
28. Hiddestorfer Rübenlauf;Running;20.09.2026;Hiddestorf;Germany;Hiddestorf, Lower Saxony, Germany, Germany;52.2850507;9.7030835;Halbmarathon, 10 km, 5 km;Der 28. Hiddestorfer Rübenlauf ist ein familiäres Laufevent, das vom Lauftreff des Sportverein Eintracht Hiddestorf organisiert wird. Die Veranstaltung bietet Strecken über 1,4 km, 5,2 km, 10,1 km und den Hemminger Halbmarathon (21,3 km) an. Neben dem sportlichen Wettkampf erwartet die Teilnehmer ein legendäres Läuferfrühstück, Kuchen, Waffeln, Gegrilltes und Getränke sowie ein abwechslungsreiches Rahmenprogramm mit;https://www.ruebenlauf.de/;Sport Event Map verified event catalog;https://www.ruebenlauf.de/;unclear;high;;2026-06-02T00:00:00+00:00;2026-07-02T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;274;e612928a-ba93-43bb-9983-fca24ff8f0bb;2026;28-hiddestorfer-rubenlauf-2026;28-hiddestorfer-rubenlauf;;;;;unknown;scheduled;;;stale;2026-06-02T00:00:00+00:00;
28. Mühlhäuser Altstadtlauf;Running;29.08.2026;Mühlhausen;Germany;Mühlhausen, Germany;49.2481325;8.7270936;5 km, 10 km;Official endurance event in Mühlhausen. Imported from verified staging batch.;https://www.muehlhausen.de/altstadtlauf/;Sport Event Map verified event catalog;https://www.muehlhausen.de/altstadtlauf/;unclear;medium;;2026-06-17T00:00:00+00:00;2026-08-28T08:53:13.87+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;440;00b893f7-b9f3-4a3d-bcd5-0467ea208b98;2026;28-muhlhauser-altstadtlauf-2026;28-muhlhauser-altstadtlauf;;;;;unknown;scheduled;;;verified;2026-06-17T00:00:00+00:00;
30. Lauf um den Arendsee;Running;30.08.2026;Arendsee;Germany;Strandbad Arendsee, Arendsee, Saxony-Anhalt, Germany, Germany;52.8906009;11.4768454;31.65 km, Half Marathon, 9.2 km, 5 km, 1.5 km, Bambini;Der 30. Lauf um den Arendsee findet am 30. August 2026 im Strandbad Arendsee statt. Zur Auswahl stehen Dreiviertelmarathon, Halbmarathon, 9,2 km, 5 km, 1,5 km und ein Bambinilauf.;https://kersten-friedrich-events.com/lauf-um-den-arendsee/;Sport Event Map verified event catalog;https://kersten-friedrich-events.com/lauf-um-den-arendsee/;registration_open;low;;2026-08-26T16:20:03.086261+00:00;2026-09-02T16:20:03.086261+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;272;28020e02-8a1b-48f6-a707-eff8c39770b5;2026;30-lauf-um-den-arendsee-2026;30-lauf-um-den-arendsee;;;;;registration_open;scheduled;;;verified;2026-08-26T16:20:03.086261+00:00;
31. Geiseltalseelauf;Running;03.10.2026;Braunsbedra;Germany;Braunsbedra, Germany;51.2840933;11.8855493;10 km, Half Marathon;Official endurance event in Braunsbedra. Imported from verified staging batch.;https://www.geiseltalseelauf.de/;Sport Event Map verified event catalog;https://www.geiseltalseelauf.de/;unclear;medium;;2026-06-17T00:00:00+00:00;2026-08-28T08:53:36.325+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;441;cbf4b8a0-b56d-4410-be3f-08af400ba363;2026;31-geiseltalseelauf-2026;31-geiseltalseelauf;;;;;unknown;scheduled;;;verified;2026-06-17T00:00:00+00:00;
32. Advent-Lauf Saarbrücken;Running;29.11.2026;Saarbrücken;Germany;Saarbrücken, Germany;49.234362;6.996379;5 km, 10 km;Official endurance event in Saarbrücken. Imported from verified staging batch.;https://saar05-leichtathletik.de/;Sport Event Map verified event catalog;https://saar05-leichtathletik.de/;unclear;medium;;2026-06-17T00:00:00+00:00;2026-08-28T08:53:36.325+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;442;c155f105-80ee-43be-a7de-89e6131fe64d;2026;32-advent-lauf-saarbrucken-2026;32-advent-lauf-saarbrucken;;;;;unknown;scheduled;;;verified;2026-06-17T00:00:00+00:00;
32. Bismarckturmlauf;Running;03.10.2026;Neustadt an der Orla;Germany;Neustadt an der Orla, Germany;50.7093161;11.7747773;5 km, 10 km, Half Marathon;Official endurance event in Neustadt an der Orla. Imported from verified staging batch.;https://www.bismarckturmlauf-neustadt.de/;Sport Event Map verified event catalog;https://www.bismarckturmlauf-neustadt.de/;unclear;medium;;2026-06-17T00:00:00+00:00;2026-08-28T08:53:36.325+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;443;85616c8b-1a55-44a7-b674-9bc3313c8a6c;2026;32-bismarckturmlauf-2026;32-bismarckturmlauf;;;;;unknown;scheduled;;;verified;2026-06-17T00:00:00+00:00;
32. Zeitzer Stadtlauf;Running;29.08.2026;Saxony-Anhalt;Germany;Schlosspark Zeitz, Zeitz, Saxony-Anhalt, Germany, Germany;51.0491637;12.1349991;10 km;Der Zeitzer Stadtlauf findet im Schlosspark Moritzburg Zeitz statt und wird von der SG Chemie Zeitz veranstaltet. Die Veranstaltung beginnt um 9:15 Uhr mit dem Start der Hauptläufe um 10:00 Uhr. Das Organisationsbüro befindet sich vor der Hauptbühne im Stadtpark, und Umkleide- sowie Duschmöglichkeiten sind in den Klinkerhallen in der Albrechtstraße vorhanden. Der Eingang zum Park erfolgt über die Stephanstraße. Der L;https://www.sg-chemie-zeitz.de/zeitzer-stadtlauf/;Sport Event Map verified event catalog;https://www.sg-chemie-zeitz.de/zeitzer-stadtlauf/;unclear;low;;2026-06-02T00:00:00+00:00;2026-08-31T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;290;7f1793d4-d02e-4c73-a9e8-7bf742d2ea0e;2026;32-zeitzer-stadtlauf-2026;32-zeitzer-stadtlauf;;;;;unknown;scheduled;;;verified;2026-06-02T00:00:00+00:00;
33. Dabendorfer Herbstlauf;Running;12.09.2026;Dabendorf;Germany;Dabendorf, Germany;52.2396196;13.4326804;5 km, 10 km;Official endurance event in Dabendorf. Imported from verified staging batch.;https://www.msvzossen.de/;Sport Event Map verified event catalog;https://www.msvzossen.de/;unclear;medium;;2026-06-17T00:00:00+00:00;2026-08-28T08:53:36.325+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;444;aec15bc3-3b46-4c61-b56d-b46e6047378a;2026;33-dabendorfer-herbstlauf-2026;33-dabendorfer-herbstlauf;;;;;unknown;scheduled;;;verified;2026-06-17T00:00:00+00:00;
33. Steinbecker Triathlon;Triathlon;20.06.2027;Recke;Germany;Recke, Germany;52.339;7.736;Triathlon;Region: Nordrhein-Westfalen Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/33-steinbecker-triathlon;https://www.steinbeck-triathlon.de/;Sport Event Map verified event catalog;https://www.steinbeck-triathlon.de/;unclear;medium;;2026-07-10T00:00:00+00:00;2026-08-10T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;190;813e2d80-cb18-4e42-8bb7-60dafa2d010e;2027;33-steinbecker-triathlon-2027;33-steinbecker-triathlon;;;;;unknown;scheduled;;;stale;2026-07-10T00:00:00+00:00;
34. Mühlchen-Triathlon Darmstadt-Arheilgen;Triathlon;20.06.2027;Darmstadt;Germany;Darmstadt, Germany;49.901;8.668;Triathlon;Region: Hessen Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/34-muehlchen-triathlon-darmstadt-arheilgen;https://www.sg-arheilgen.de/de/sportangebot/sportangebote-und-abteilungen/triathlon/muehlchen-triathlon/;Sport Event Map verified event catalog;https://www.sg-arheilgen.de/de/sportangebot/sportangebote-und-abteilungen/triathlon/muehlchen-triathlon/;unclear;medium;;2026-07-10T00:00:00+00:00;2026-08-10T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;195;daad63d8-8a30-42bb-a1ed-7a012fcf22e5;2027;34-muhlchen-triathlon-darmstadt-arheilgen-2027;34-muhlchen-triathlon-darmstadt-arheilgen;;;;;unknown;scheduled;;;stale;2026-07-10T00:00:00+00:00;
36. Ratzeburger Adventslauf;Running;29.11.2026;Ratzeburg;Germany;Ratzeburg, Germany;53.7011061;10.774288;10 km, Half Marathon;Official endurance event in Ratzeburg. Imported from verified staging batch.;https://www.adventslauf.de/;Sport Event Map verified event catalog;https://www.adventslauf.de/;unclear;medium;;2026-06-17T00:00:00+00:00;2026-08-28T08:53:36.325+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;446;2385010b-6813-4251-b97a-5395d001367e;2026;36-ratzeburger-adventslauf-2026;36-ratzeburger-adventslauf;;;;;unknown;scheduled;;;verified;2026-06-17T00:00:00+00:00;
37. Heideblütenlauf;Running;29.08.2026;Schneverdingen;Germany;Schulstraße, Schneverdingen, Lower Saxony, Germany, Germany;53.1187799;9.7873454;10 km, 5 km;Der 37. Heideblütenlauf findet am Samstag, den 29. August 2026 in Schneverdingen statt und ist ein traditionelles Laufevent, das im Rahmen des Heideblütenfestes ausgetragen wird. Die Veranstaltung wird vom TV Jahn Schneverdingen organisiert und bietet Läufern aller Altersklassen die Möglichkeit, die schöne Heidelandschaft zu erleben. Die Strecke führt durch die malerische Umgebung und wird von zahlreichen Helfern und;https://www.tvjahn.de/sport/lauftreff/heidebluetenlauf/;Sport Event Map verified event catalog;https://www.tvjahn.de/sport/lauftreff/heidebluetenlauf/;unclear;low;;2026-06-02T00:00:00+00:00;2026-08-31T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;281;012c63f0-58bf-4a4d-b8d8-b31d42b9d473;2026;37-heideblutenlauf-2026;37-heideblutenlauf;;;;;unknown;scheduled;;;verified;2026-06-02T00:00:00+00:00;
38. Volkslauf des TSV Breuna;Running;06.09.2026;Hesse;Germany;Lauf- und Wanderpark Breuna, Breuna, Waldeck-Frankenberg, Hesse, Germany, Germany;51.0448;7.405929;Halbmarathon, 10 km, 5 km;Der 38. Breunaer Malsburglauf findet am 6. September 2026 statt und ist eine traditionsreiche Laufveranstaltung im Lauf- und Wanderpark Breuna. Der Lauf bietet eine attraktive Strecke in der schönen Natur rund um Breuna und richtet sich an Läufer aller Altersklassen. Die Veranstaltung wird vom TSV Breuna e.V. organisiert und ist Teil des Nordhessencups. Die Anmeldung erfolgt über die Plattform RaceResult.;http://www.tsv-breuna.de/leichtathletik;Sport Event Map verified event catalog;http://www.tsv-breuna.de/leichtathletik;unclear;high;;2026-06-02T00:00:00+00:00;2026-07-02T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;275;9ee13b30-089b-4d04-b528-595beaad1ac9;2026;38-volkslauf-des-tsv-breuna-2026;38-volkslauf-des-tsv-breuna;;;;;unknown;scheduled;;;stale;2026-06-02T00:00:00+00:00;
40. Braunschweiger Nachtlauf;Running;18.06.2027;Braunschweig;Germany;Bohlweg, Braunschweig, Lower Saxony, Germany, Germany;52.262082;10.526073;10 km, 6.5 km;Der 40. Braunschweiger Nachtlauf am 19. Juni 2026 bietet ein vielfältiges Sportangebot für alle Altersklassen, von Bambini- bis zu Jedermannläufen. Die Läufe führen durch die Innenstadt von Braunschweig mit Start und Ziel am Bohlweg, die Bambiniläufe starten am Burgplatz. Die Veranstaltung ist bekannt für ihre besondere Atmosphäre und die Unterstützung durch die Braunschweigische Sparkassenstiftung, die das Event erm;https://www.mtv-bs.de/de/nachtlauf/;Sport Event Map verified event catalog;https://www.mtv-bs.de/de/nachtlauf/;unclear;low;;2026-07-10T00:00:00+00:00;2026-08-10T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;280;9ee23ae2-a220-486d-b136-bb9cca1e5be0;2027;40-braunschweiger-nachtlauf-2027;40-braunschweiger-nachtlauf;;;;;unknown;scheduled;;;stale;2026-07-10T00:00:00+00:00;
43. Internationalen Airport Race;Running;13.09.2026;Hamburg Airport;Germany;Hamburg Airport, Hamburg, Germany, Germany;53.5501721;10.0013165;16.1 km, 5 km;Das 43. Internationale Airport Race in Hamburg findet am 13. September 2026 statt und bietet ein abwechslungsreiches Lauferlebnis rund um den Hamburger Flughafen. Der Startschuss für die 10-Meilen-Strecke fällt traditionell um 11:00 Uhr auf der LSV-Sportanlage in der Borsteler Chaussee. Neben dem Hauptlauf über 10 Meilen gibt es auch Wettbewerbe über 5 km und das Mini Airport Race. Die einzigartige Flughafenkulisse s;https://www.airportrace.de/;Sport Event Map verified event catalog;https://www.airportrace.de/;unclear;low;;2026-06-02T00:00:00+00:00;2026-08-31T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;284;f287ae68-59ab-4cff-8398-3e3c70522e3b;2026;43-internationalen-airport-race-2026;43-internationalen-airport-race;;;;;unknown;scheduled;;;verified;2026-06-02T00:00:00+00:00;
48. Wernigeröder Silvesterlauf;Running;31.12.2026;Wernigerode;Germany;Wernigerode, Germany;51.8344172;10.7862526;10 km;Official endurance event in Wernigerode. Imported from verified staging batch.;http://www.hgl-la.de/;Sport Event Map verified event catalog;http://www.hgl-la.de/;unclear;medium;;2026-06-17T00:00:00+00:00;2026-08-28T08:53:36.325+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;450;8624e45f-f4a0-41a9-8c1a-a511e33fc2c7;2026;48-wernigeroder-silvesterlauf-2026;48-wernigeroder-silvesterlauf;;;;;unknown;scheduled;;;verified;2026-06-17T00:00:00+00:00;
