severity;event_name;event_id;city;country;address;latitude;longitude;issues;distance_to_city_km;distance_to_address_km;confidence_score;suggested_latitude;suggested_longitude;recommended_action
clean;IRONMAN 70.3 Jonkoping;ironman-70-3-jonkoping-jonkoping-05-07-2026;Jonkoping;Sweden;Jonkoping, Sweden;57.7825634;14.165719;;0.0;;0.95;;;No pin action required.
clean;IRONMAN 70.3 Luxembourg;ironman-70-3-luxembourg-moselle-12-07-2026;Moselle;Luxembourg;Moselle, Luxembourg;50.0997553;5.9153518;;0.0;;0.95;;;No pin action required.
clean;IRONMAN Vitoria-Gasteiz;ironman-vitoria-gasteiz-vitoria-gasteiz-12-07-2026;Vitoria-Gasteiz;Spain;Vitoria-Gasteiz, Spain;42.8465088;-2.6724025;;0.0;;0.95;;;No pin action required.
clean;IRONMAN 70.3 Vitoria-Gasteiz;ironman-70-3-vitoria-gasteiz-vitoria-gasteiz-12-07-2026;Vitoria-Gasteiz;Spain;Vitoria-Gasteiz, Spain;42.8465088;-2.6724025;;0.0;;0.95;;;No pin action required.
clean;Generali Köln Marathon;generali-koln-marathon-koln-04-10-2026;Köln;Germany;L111, 50679 Köln;50.936742995562746;6.978251138557531;;1.3;0.0;0.95;;;No pin action required.
clean;Köln Triathlon;koln-triathlon-koln-06-09-2026;Köln;Germany;Rheinparkweg 1, 50679 Köln;50.9458861;6.9704153;;1.1;0.0;0.95;;;No pin action required.
clean;Haspa Marathon Hamburg;haspa-marathon-hamburg-hamburg-25-04-2027;Hamburg;Germany;Karolinenstraße / Hamburg Messe, Hamburg;53.557504;9.975498;;1.9;1.9;0.95;;;No pin action required.
clean;BMW Berlin Marathon;bmw-berlin-marathon-berlin-27-09-2026;Berlin;Germany;Straße des 17. Juni, between Brandenburg Gate and Kleiner Stern, Berlin;52.524932;13.407032;;1.2;4.9;0.95;;;No pin action required.
clean;Mainova Frankfurt Marathon;mainova-frankfurt-marathon-frankfurt-am-main-25-10-2026;Frankfurt am Main;Germany;Festhalle Messe Frankfurt, Frankfurt am Main;50.113036;8.651832;;2.2;0.6;0.95;;;No pin action required.
clean;Thüringen Ultra;thuringen-ultra-frottstadt-04-07-2026;Fröttstädt;Germany;Bahnhofstraße 1, 99880 Hörsel;50.90132;10.560932;;3.8;0.0;0.95;;;No pin action required.
clean;Münster Marathon;munster-marathon-munster-13-09-2026;Münster;Germany;Schlosspl. 2, 48149 Münster;51.9638852;7.613212;;0.8;0.0;0.95;;;No pin action required.
clean;GutsMuths Rennsteiglauf;gutsmuths-rennsteiglauf-schmiedefeld-22-05-2027;Schmiedefeld;Germany;Schmiedefeld, Germany;50.5333;11.2167;;0.0;;0.95;;;No pin action required.
clean;Ostseeman;ostseeman-glucksburg-02-08-2026;Glücksburg;Germany;Sandwigstraße 1, 24960 Glücksburg;54.840851;9.5343775;;2.3;0.0;0.95;;;No pin action required.
clean;Zugspitz Ultratrail;zugspitz-ultratrail-garmisch-partenkirchen-20-06-2026;Garmisch-Partenkirchen;Germany;Richard-Strauss-Platz 1, 82467 Garmisch-Partenkirchen;47.4948475;11.0915726;;0.4;0.0;0.95;;;No pin action required.
clean;Challenge Roth;challenge-roth-roth-05-07-2026;Roth;Germany;Otto-Schrimpff-Straße 12, 91154 Roth;49.2430375;11.0948034;;1.8;0.0;0.95;;;No pin action required.
clean;Dresden Marathon;dresden-marathon-dresden-25-10-2026;Dresden;Germany;Ostra-Ufer 2, 01067 Dresden;51.0588063;13.731368;;1.2;0.0;0.95;;;No pin action required.
clean;Magdeburg Marathon;magdeburg-marathon-magdeburg-04-10-2026;Magdeburg;Germany;Magdeburg, Germany;52.1314783;11.6400789;;0.0;;0.95;;;No pin action required.
clean;Fischland Darss-Zingst Ultramarathon;fischland-darss-zingst-ultramarathon-ribnitz-damgarten-13-06-2026;Ribnitz-Damgarten;Germany;Ribnitz-Damgarten, Germany;54.2433326;12.4319733;;0.0;;0.95;;;No pin action required.
clean;Kassel Marathon;kassel-marathon-kassel-20-09-2026;Kassel;Germany;Kassel, Germany;51.3157833;9.4978479;;0.0;;0.95;;;No pin action required.
warning;Finkenwerder Insellauf;finkenwerder-insellauf-hamburg-06-06-2026;Hamburg;Germany;Hamburg, Germany;53.5501721;10.0013165;shared_coordinates_multiple_places;0.0;;0.65;;;No pin action required.
clean;Panorama-Baumwipfel-Lauf;panorama-baumwipfel-lauf-oberschwarzach-13-06-2026;Oberschwarzach;Germany;Oberschwarzach, Germany;49.8537347;10.4192342;;0.0;;0.95;;;No pin action required.
clean;Ebbser Koasamarsch;ebbser-koasamarsch-ebbs-13-06-2026;Ebbs;Austria;Ebbs, Austria;47.630874;12.2154318;;0.0;;0.95;;;No pin action required.
clean;Himmelgeister Brückenlauf;himmelgeister-bruckenlauf-dusseldorf-13-06-2026;Düsseldorf;Germany;Düsseldorf, Germany;51.2254018;6.7763137;;0.0;;0.95;;;No pin action required.
clean;GlückLauf;glucklauf-salzgitter-13-06-2026;Salzgitter;Germany;Salzgitter, Germany;52.1503721;10.3593147;;0.0;;0.95;;;No pin action required.
clean;Mendener Citylauf mit Halbmarathon;mendener-citylauf-mit-halbmarathon-menden-14-06-2026;Menden;Germany;Menden, Germany;51.43779;7.7953822;;0.0;;0.95;;;No pin action required.
clean;Gorch-Fock-Lauf;gorch-fock-lauf-wilhelmshaven-14-06-2026;Wilhelmshaven;Germany;Wilhelmshaven, Germany;53.5278793;8.106301;;0.0;;0.95;;;No pin action required.
clean;Herzogstadtlauf Straubing;herzogstadtlauf-straubing-straubing-14-06-2026;Straubing;Germany;Straubing, Germany;48.8839157;12.5955773;;1.9;;0.95;;;No pin action required.
clean;Himmelswegelauf;himmelswegelauf-nebra-13-06-2026;Nebra;Germany;Nebra, Germany;51.2873083;11.5787877;;0.0;;0.95;;;No pin action required.
clean;Tschirgant Sky Run;tschirgant-sky-run-imst-13-06-2026;Imst;Austria;Imst, Austria;47.2381536;10.7406982;;0.0;;0.95;;;No pin action required.
warning;saarBRÜCKENlauf;saarbruckenlauf-saarbrucken-14-06-2026;Saarbrücken;Germany;Saarbrücken, Germany;49.234362;6.996379;shared_coordinates_multiple_places;0.0;;0.65;;;No pin action required.
clean;Heidenheimer Sparkassen-Stadtlauf;heidenheimer-sparkassen-stadtlauf-heidenheim-14-06-2026;Heidenheim;Germany;Heidenheim, Germany;48.6767637;10.152923;;57.4;;0.95;;;No pin action required.
clean;Drebber Marathon;drebber-marathon-drebber-13-06-2026;Drebber;Germany;Drebber, Germany;52.652437;8.4199322;;0.0;;0.95;;;No pin action required.
clean;Eschathlon - Der Eschborner Halbmarathon;eschathlon-der-eschborner-halbmarathon-eschborn-14-06-2026;Eschborn;Germany;Eschborn, Germany;50.1504737;8.5607767;;0.0;;0.95;;;No pin action required.
clean;Hennefer Europalauf;hennefer-europalauf-hennef-20-06-2026;Hennef;Germany;Hennef, Germany;50.7754417;7.2847945;;0.0;;0.95;;;No pin action required.
clean;Rennsteig Staffellauf;rennsteig-staffellauf-horschel-20-06-2026;Hörschel;Germany;Hörschel, Germany;51.0054262;10.230899;;0.0;;0.95;;;No pin action required.
clean;Skatstadtmarathon;skatstadtmarathon-altenburg-13-06-2026;Altenburg;Germany;Altenburg, Germany;50.9852411;12.4340988;;0.0;;0.95;;;No pin action required.
clean;Barmstedter Stadtlauf;barmstedter-stadtlauf-barmstedt-14-06-2026;Barmstedt;Germany;Barmstedt, Germany;53.7889203;9.7703927;;0.0;;0.95;;;No pin action required.
warning;Sparkassen Metropolmarathon;sparkassen-metropolmarathon-furth-14-06-2026;Fürth;Germany;Fürth, Germany;49.4885711;10.9587203;coordinates_far_from_city;158.2;;0.50;;;"Review the city or pin; the current point is far from the cached city reference."
clean;Sababurger Tierparklauf;sababurger-tierparklauf-hofgeismar-sababurg-21-06-2026;Hofgeismar-Sababurg;Germany;Hofgeismar-Sababurg, Germany;51.4972178;9.4280731;;2.9;;0.95;;;No pin action required.
clean;Melibokuslauf;melibokuslauf-alsbach-hahnlein-14-06-2026;Alsbach-Hähnlein;Germany;Alsbach-Hähnlein, Germany;49.7383506;8.5950049;;0.0;;0.95;;;No pin action required.
clean;Draisinenlauf Altenglan;draisinenlauf-altenglan-altenglan-21-06-2026;Altenglan;Germany;Altenglan, Germany;49.5536508;7.4610041;;0.0;;0.95;;;No pin action required.
clean;Fichtelgebirgsmarathon;fichtelgebirgsmarathon-bad-alexandersbad-04-07-2026;Bad Alexandersbad;Germany;Bad Alexandersbad, Germany;50.0110866;12.0241501;;0.0;;0.95;;;No pin action required.
clean;Montafon Arlberg Marathon;montafon-arlberg-marathon-st-anton-am-arlberg-27-06-2026;St. Anton am Arlberg;Austria;St. Anton am Arlberg, Austria;47.1288996;10.2663669;;0.0;;0.95;;;No pin action required.
clean;Flechtkulturlauf Obermain;flechtkulturlauf-obermain-lichtenfels-20-06-2026;Lichtenfels;Germany;Lichtenfels, Germany;50.1315263;11.0839299;;0.0;;0.95;;;No pin action required.
clean;Remmers-Hasetal Marathon;remmers-hasetal-marathon-loningen-27-06-2026;Löningen;Germany;Löningen, Germany;52.7363493;7.7570655;;0.0;;0.95;;;No pin action required.
clean;Gornergrat Zermatt Marathon;gornergrat-zermatt-marathon-st-niklaus-04-07-2026;St. Niklaus;Switzerland;St. Niklaus, Switzerland;46.177002;7.802516;;0.0;;0.95;;;No pin action required.
clean;Roruper Abendlauf;roruper-abendlauf-dulmen-rorup-10-07-2026;Dülmen-Rorup;Germany;Dülmen-Rorup, Germany;51.8283677;7.2791406;;0.6;;0.95;;;No pin action required.
clean;Eselsburger-Tal-Lauf;eselsburger-tal-lauf-herbrechtingen-05-07-2026;Herbrechtingen;Germany;Herbrechtingen, Germany;48.6226932;10.1761696;;0.0;;0.95;;;No pin action required.
clean;ProPotsdam Schlösserlauf;propotsdam-schlosserlauf-potsdam-07-06-2026;Potsdam;Germany;Potsdam, Germany;52.4009309;13.0591397;;0.0;;0.95;;;No pin action required.
clean;SportScheck RUN München;sportscheck-run-munchen-munchen-05-07-2026;München;Germany;München, Germany;48.1371079;11.5753822;;0.0;;0.95;;;No pin action required.
info;Gletschermarathon Pitztal;gletschermarathon-pitztal-sankt-leonhard-im-pitztal-05-07-2026;Sankt Leonhard im Pitztal;Austria;Mandarfen, Sankt Leonhard im Pitztal, Tirol, Austria;46.9686284;10.8709246;no_cached_city_reference;;;0.82;;;Add this city to the geocode cache during the next controlled geocoding run.
clean;Ermstal-Marathon;ermstal-marathon-metzingen-12-07-2026;Metzingen;Germany;Metzingen, Germany;48.5397247;9.2831201;;0.0;;0.95;;;No pin action required.
clean;Heizomat Altmühlseelauf;heizomat-altmuhlseelauf-gunzenhausen-18-07-2026;Gunzenhausen;Germany;Gunzenhausen, Germany;49.1161362;10.7406852;;0.0;;0.95;;;No pin action required.
clean;Küstenkanallauf;kustenkanallauf-friesoythe-kampe-04-07-2026;Friesoythe/Kampe;Germany;Friesoythe/Kampe, Germany;53.0847318;7.854147;;1.3;;0.95;;;No pin action required.
clean;Ottonenlauf;ottonenlauf-alexisbad-01-08-2026;Alexisbad;Germany;Alexisbad, Germany;51.6499442;11.1165337;;0.0;;0.95;;;No pin action required.
clean;Altmühl-Jura Halbmarathon;altmuhl-jura-halbmarathon-greding-26-07-2026;Greding;Germany;Greding, Germany;49.0666571;11.3398301;;0.0;;0.95;;;No pin action required.
clean;Rheingauer Halbmarathon;rheingauer-halbmarathon-oestrich-winkel-26-07-2026;Oestrich-Winkel;Germany;Oestrich-Winkel, Germany;50.0071863;8.0167585;;0.0;;0.95;;;No pin action required.
clean;Marburger Nachtmarathon;marburger-nachtmarathon-marburg-03-07-2026;Marburg;Germany;Marburg, Germany;50.8090106;8.7704695;;0.0;;0.95;;;No pin action required.
clean;Wilhelmsfelder Kerwelauf;wilhelmsfelder-kerwelauf-wilhelmsfeld-05-07-2026;Wilhelmsfeld;Germany;Wilhelmsfeld, Germany;49.4626013;8.7632568;;0.0;;0.95;;;No pin action required.
clean;Marathon rund um Wellen;marathon-rund-um-wellen-wellen-02-08-2026;Wellen;Germany;Wellen, Germany;49.6692928;6.4334568;;0.0;;0.95;;;No pin action required.
clean;Kapellenlauf Vorra;kapellenlauf-vorra-frensdorf-02-08-2026;Frensdorf;Germany;Frensdorf, Germany;49.8091858;10.8699018;;0.0;;0.95;;;No pin action required.
warning;Eilenriederennen Hannover;eilenriederennen-hannover-hannover-30-08-2026;Hannover;Germany;Hannover, Germany;52.3744779;9.7385532;shared_coordinates_multiple_places;0.0;;0.65;;;No pin action required.
clean;FlorSTADT Halbmarathon;florstadt-halbmarathon-florstadt-23-08-2026;Florstadt;Germany;Florstadt, Germany;50.3200881;8.9050064;;0.0;;0.95;;;No pin action required.
clean;Borkumer Meilenlauf;borkumer-meilenlauf-borkum-05-09-2026;Borkum;Germany;Borkum, Germany;53.5862669;6.6917449;;1.6;;0.95;;;No pin action required.
warning;Rosengartenlauf;rosengartenlauf-rosengarten-vahrendorf-23-08-2026;Rosengarten-Vahrendorf;Germany;Rosengarten-Vahrendorf, Germany;53.3983771;9.9048979;coordinates_far_from_city;163.4;;0.50;;;"Review the city or pin; the current point is far from the cached city reference."
clean;Jungfrau Marathon;jungfrau-marathon-interlaken-04-09-2026;Interlaken;Switzerland;Interlaken, Switzerland;46.6855231;7.8585139;;0.0;;0.95;;;No pin action required.
clean;Steinhuder-Meer-Lauf;steinhuder-meer-lauf-neustadt-am-rubenberge-05-09-2026;Neustadt am Rübenberge;Germany;Neustadt am Rübenberge, Germany;52.5045772;9.4616921;;0.0;;0.95;;;No pin action required.
clean;City Marathon Bremerhaven;city-marathon-bremerhaven-bremerhaven-06-09-2026;Bremerhaven;Germany;Bremerhaven, Germany;53.5505392;8.5851945;;0.0;;0.95;;;No pin action required.
warning;BORSIG Halbmarathon;borsig-halbmarathon-berlin-06-09-2026;Berlin;Germany;Berlin, Germany;52.5173885;13.3951309;shared_coordinates_multiple_places;0.0;;0.65;;;No pin action required.
clean;Koberstädter Waldmarathon;koberstadter-waldmarathon-egelsbach-30-08-2026;Egelsbach;Germany;Egelsbach, Germany;49.9668352;8.6659289;;0.0;;0.95;;;No pin action required.
clean;Burgwald Märchen Marathon;burgwald-marchen-marathon-rauschenberg-30-08-2026;Rauschenberg;Germany;Rauschenberg, Germany;50.9089878;8.8864674;;0.0;;0.95;;;No pin action required.
clean;Fehmarn Marathon;fehmarn-marathon-fehmarn-05-09-2026;Fehmarn;Germany;Fehmarn, Germany;54.4685201;11.1342465;;0.0;;0.95;;;No pin action required.
clean;Flensburg liebt dich Marathon;flensburg-liebt-dich-marathon-flensburg-06-09-2026;Flensburg;Germany;Flensburg, Germany;54.7833021;9.4333264;;0.0;;0.95;;;No pin action required.
clean;swb Bremen Marathon;swb-bremen-marathon-bremen-13-09-2026;Bremen;Germany;Bremen, Germany;53.0758196;8.8071646;;0.0;;0.95;;;No pin action required.
clean;Fränkische Schweiz Marathon;frankische-schweiz-marathon-ebermannstadt-06-09-2026;Ebermannstadt;Germany;Ebermannstadt, Germany;49.7802113;11.1875112;;0.0;;0.95;;;No pin action required.
clean;Pfälzerwald Marathon;pfalzerwald-marathon-pirmasens-12-09-2026;Pirmasens;Germany;Pirmasens, Germany;49.1996961;7.6087847;;0.0;;0.95;;;No pin action required.
clean;wep-Strom Lauf;wep-strom-lauf-huckelhoven-13-09-2026;Hückelhoven;Germany;Hückelhoven, Germany;51.0552368;6.2247322;;0.0;;0.95;;;No pin action required.
clean;Friedberger Halbmarathon;friedberger-halbmarathon-friedberg-i-bayern-13-09-2026;Friedberg i.Bayern;Germany;Friedberg i.Bayern, Germany;48.3551962;10.9786498;;0.0;;0.95;;;No pin action required.
clean;ebm-papst Marathon;ebm-papst-marathon-niedernhall-13-09-2026;Niedernhall;Germany;Niedernhall, Germany;49.294729;9.61617;;0.0;;0.95;;;No pin action required.
clean;Schweriner Fünf-Seen-Lauf;schweriner-funf-seen-lauf-schwerin-04-07-2026;Schwerin;Germany;Schwerin, Germany;53.6288297;11.4148038;;0.0;;0.95;;;No pin action required.
clean;Ahrathon Erlebnislauf;ahrathon-erlebnislauf-bad-neuenahr-ahrweiler-13-06-2026;Bad Neuenahr-Ahrweiler;Germany;Bad Neuenahr-Ahrweiler, Germany;50.5444551;7.1186671;;0.0;;0.95;;;No pin action required.
clean;Schapener Volkslauf;schapener-volkslauf-braunschweig-06-09-2026;Braunschweig;Germany;Braunschweig, Germany;52.2646577;10.5236066;;0.0;;0.95;;;No pin action required.
clean;Bodensee Marathon;bodensee-marathon-kressbronn-19-09-2026;Kressbronn;Germany;Kressbronn, Germany;49.0655511;10.1378705;;0.0;;0.95;;;No pin action required.
clean;Wachau Marathon;wachau-marathon-krems-13-09-2026;Krems;Austria;Krems, Austria;48.4108382;15.6003717;;0.0;;0.95;;;No pin action required.
clean;Trail Marathon Heidelberg;trail-marathon-heidelberg-heidelberg-20-09-2026;Heidelberg;Germany;Heidelberg, Germany;49.4093582;8.694724;;0.0;;0.95;;;No pin action required.
clean;Brauereienlauf;brauereienlauf-litzendorf-19-09-2026;Litzendorf;Germany;Litzendorf, Germany;49.9123064;11.0096505;;0.0;;0.95;;;No pin action required.
clean;Sparkassen - Küstenmarathon;sparkassen-kustenmarathon-otterndorf-20-09-2026;Otterndorf;Germany;Otterndorf, Germany;53.8073939;8.8956836;;0.0;;0.95;;;No pin action required.
clean;Altstadtlauf Salzwedel;altstadtlauf-salzwedel-salzwedel-20-09-2026;Salzwedel;Germany;Salzwedel, Germany;52.8528456;11.1539699;;0.0;;0.95;;;No pin action required.
clean;Schuster Tegernseelauf;schuster-tegernseelauf-gmund-am-tegernsee-20-09-2026;Gmund am Tegernsee;Germany;Gmund am Tegernsee, Germany;47.750822;11.738955;;0.0;;0.95;;;No pin action required.
clean;Taubertal 100;taubertal-100-rothenburg-ob-der-tauber-03-10-2026;Rothenburg ob der Tauber;Germany;Rothenburg ob der Tauber, Germany;49.3658042;10.1629182;;0.0;;0.95;;;No pin action required.
clean;Baden Marathon Karlsruhe;baden-marathon-karlsruhe-karlsruhe-20-09-2026;Karlsruhe;Germany;Karlsruhe, Germany;49.0068705;8.4034195;;0.0;;0.95;;;No pin action required.
clean;Einstein Marathon;einstein-marathon-ulm-27-09-2026;Ulm;Germany;Ulm, Germany;48.3984968;9.9912458;;0.0;;0.95;;;No pin action required.
clean;Halbmarathon Altötting;halbmarathon-altotting-altotting-20-09-2026;Altötting;Germany;Altötting, Germany;48.2268085;12.6757914;;0.0;;0.95;;;No pin action required.
clean;Schwarzwald Marathon;schwarzwald-marathon-braunlingen-10-10-2026;Bräunlingen;Germany;Bräunlingen, Germany;47.9300645;8.448329;;0.0;;0.95;;;No pin action required.
clean;Kaisermarathon;kaisermarathon-soll-10-10-2026;Söll;Austria;Söll, Austria;47.5037676;12.1914903;;0.0;;0.95;;;No pin action required.
clean;Kärntner Marathon;karntner-marathon-feldkirchen-27-09-2026;Feldkirchen;Austria;Feldkirchen, Austria;46.7284183;14.0906473;;0.8;;0.95;;;No pin action required.
clean;Fulda Marathon;fulda-marathon-fulda-06-09-2026;Fulda;Germany;Fulda, Germany;50.5514658;9.6762161;;0.0;;0.95;;;No pin action required.
clean;Eindhoven Marathon;eindhoven-marathon-eindhoven-11-10-2026;Eindhoven;Netherlands;Eindhoven, Netherlands;51.4392648;5.478633;;0.0;;0.95;;;No pin action required.
clean;Graz Marathon;graz-marathon-graz-11-10-2026;Graz;Austria;Graz, Austria;47.0708678;15.4382786;;0.0;;0.95;;;No pin action required.
clean;RIBE Citylauf Schwabach;ribe-citylauf-schwabach-schwabach-11-10-2026;Schwabach;Germany;Schwabach, Germany;49.3290521;11.0207677;;0.0;;0.95;;;No pin action required.
clean;Marathon München by Brooks;marathon-munchen-by-brooks-munchen-11-10-2026;München;Germany;München, Germany;48.1371079;11.5753822;;0.0;;0.95;;;No pin action required.
clean;Hachenburg Löwen Marathon;hachenburg-lowen-marathon-hachenburg-17-10-2026;Hachenburg;Germany;Hachenburg, Germany;50.6627538;7.8253173;;0.0;;0.95;;;No pin action required.
clean;Drei-Talsperren Marathon;drei-talsperren-marathon-eibenstock-19-09-2026;Eibenstock;Germany;Eibenstock, Germany;50.4725811;12.6117135;;0.0;;0.95;;;No pin action required.
clean;Leipzig RUN;leipzig-run-leipzig-11-10-2026;Leipzig;Germany;Leipzig, Germany;51.3406321;12.3747329;;0.0;;0.95;;;No pin action required.
clean;Filderstadt-Halbmarathon;filderstadt-halbmarathon-filderstadt-18-10-2026;Filderstadt;Germany;Filderstadt, Germany;48.6664;9.2199647;;0.0;;0.95;;;No pin action required.
clean;Swiss City Marathon Lucerne;swiss-city-marathon-lucerne-luzern-25-10-2026;Luzern;Switzerland;Luzern, Switzerland;47.052144;8.3058123;;0.0;;0.95;;;No pin action required.
clean;Westenergie Marathon;westenergie-marathon-essen-11-10-2026;Essen;Germany;Essen, Germany;51.4582235;7.0158171;;0.0;;0.95;;;No pin action required.
clean;Braunschweiger Lauftage;braunschweiger-lauftage-braunschweig-25-10-2026;Braunschweig;Germany;Braunschweig, Germany;52.2646577;10.5236066;;0.0;;0.95;;;No pin action required.
clean;Usedom Marathon;usedom-marathon-wolgast-05-09-2026;Wolgast;Germany;Wolgast, Germany;54.0536473;13.7757809;;0.0;;0.95;;;No pin action required.
clean;Aschaffenburger Sparkassen Halbmarathon;aschaffenburger-sparkassen-halbmarathon-aschaffenburg-04-10-2026;Aschaffenburg;Germany;Aschaffenburg, Germany;49.9706701;9.1384857;;0.6;;0.95;;;No pin action required.
clean;Chiemgau Trail Run;chiemgau-trail-run-marquartstein-24-10-2026;Marquartstein;Germany;Marquartstein, Germany;47.7608226;12.4604809;;0.0;;0.95;;;No pin action required.
clean;Karneval Marathon Köln;karneval-marathon-koln-koln-11-11-2026;Köln;Germany;Köln, Germany;50.938361;6.959974;;0.0;;0.95;;;No pin action required.
clean;SportScheck RUN Nürnberg;sportscheck-run-nurnberg-nurnberg-25-10-2026;Nürnberg;Germany;Nürnberg, Germany;49.453872;11.077298;;0.0;;0.95;;;No pin action required.
clean;Lausanne Marathon;lausanne-marathon-lausanne-25-10-2026;Lausanne;Switzerland;Lausanne, Switzerland;46.5218269;6.6327025;;0.0;;0.95;;;No pin action required.
clean;Schloss Marienburg Marathon;schloss-marienburg-marathon-nordstemmen-adensen-21-11-2026;Nordstemmen-Adensen;Germany;Nordstemmen-Adensen, Germany;52.1763239;9.729259;;4.3;;0.95;;;No pin action required.
clean;Röntgenlauf;rontgenlauf-remscheid-25-10-2026;Remscheid;Germany;Remscheid, Germany;51.1798706;7.1943544;;0.0;;0.95;;;No pin action required.
clean;Siebengebirgsmarathon;siebengebirgsmarathon-bad-honnef-06-12-2026;Bad Honnef;Germany;Bad Honnef, Germany;50.6448582;7.2272534;;0.0;;0.95;;;No pin action required.
clean;Zürich Marathon;zurich-marathon-zurich-11-04-2027;Zürich;Switzerland;Zürich, Switzerland;47.3744489;8.5410422;;0.0;;0.95;;;No pin action required.
clean;Falke Rothaarsteig Marathon;falke-rothaarsteig-marathon-fleckenberg-17-10-2026;Fleckenberg;Germany;Fleckenberg, Germany;51.1325162;8.2623868;;0.0;;0.95;;;No pin action required.
clean;Oldenburg Marathon;oldenburg-marathon-edewecht-25-10-2026;Edewecht;Germany;Edewecht, Germany;53.1283992;7.9855044;;0.0;;0.95;;;No pin action required.
clean;Mein Freiburg Marathon;mein-freiburg-marathon-freiburg-04-04-2027;Freiburg;Germany;Freiburg, Germany;47.9960901;7.8494005;;0.0;;0.95;;;No pin action required.
clean;Winterstaffel Pulheim;winterstaffel-pulheim-pulheim-31-01-2027;Pulheim;Germany;Pulheim, Germany;50.9979888;6.8025409;;0.0;;0.95;;;No pin action required.
clean;uniper Marathon Düsseldorf;uniper-marathon-dusseldorf-dusseldorf-18-04-2027;Düsseldorf;Germany;Düsseldorf, Germany;51.2254018;6.7763137;;0.0;;0.95;;;No pin action required.
clean;ADAC Marathon Hannover;adac-marathon-hannover-hannover-11-04-2027;Hannover;Germany;Trammplatz / Neues Rathaus, Hannover;52.36793;9.73772;;0.7;0.0;0.95;;;No pin action required.
clean;Frauenfelder Marathon;frauenfelder-marathon-frauenfeld-15-11-2026;Frauenfeld;Switzerland;Frauenfeld, Switzerland;47.5561915;8.8963347;;0.0;;0.95;;;No pin action required.
clean;Tangermünder Elbdeichmarathon;tangermunder-elbdeichmarathon-tangermunde-18-04-2027;Tangermünde;Germany;Tangermünde, Germany;52.5431104;11.9722524;;0.0;;0.95;;;No pin action required.
clean;Saaletal Marathon;saaletal-marathon-ramsthal-10-04-2027;Ramsthal;Germany;Ramsthal, Germany;50.1398945;10.0692744;;0.0;;0.95;;;No pin action required.
clean;Ring Running Series;ring-running-series-hockenheim-21-11-2026;Hockenheim;Germany;Hockenheim, Germany;49.3188892;8.5475467;;0.0;;0.95;;;No pin action required.
clean;Rursee Marathon;rursee-marathon-simmerath-08-11-2026;Simmerath;Germany;Simmerath, Germany;50.6072499;6.3005267;;0.0;;0.95;;;No pin action required.
clean;Salvus-Teekottenlauf;salvus-teekottenlauf-emsdetten-23-04-2027;Emsdetten;Germany;Emsdetten, Germany;52.174687;7.5301756;;0.0;;0.95;;;No pin action required.
